CO_GRUPO;IdPersona;FE_ALTA;Monto;Fe_castigo;Monto_castigado
3010;4211645;30/11/2021;3087.00;;
3010;4211942;15/07/2021;587.00;;
3010;4212288;30/12/2021;787.00;;
1B9D;4230009;01/11/2021;687.00;;
3325;4239471;24/06/2021;687.00;;
3325;4239547;01/10/2021;1387.00;;
3325;4239620;03/08/2021;587.00;;
1271;4242236;14/10/2021;5087.00;;
0108;4265690;29/01/2021;2758.00;;
0248;4431334;29/08/2021;587.00;;
0S5I;4432126;11/12/2021;5087.00;;
5383;4437133;22/09/2021;587.00;;
5383;4437208;31/10/2021;587.00;;
0254;4470951;30/01/2021;2958.00;;
0254;4472395;07/01/2021;1258.00;;
0254;4472973;18/12/2021;2587.00;;
0254;4475042;01/05/2021;1858.00;;
0108;4496907;26/10/2021;1287.00;;
1I4M;4513669;20/08/2021;687.00;;
2305;4519880;17/07/2021;5087.00;;
3468;4526992;10/01/2021;1058.00;;
2034;4529632;01/08/2021;1587.00;;
1271;4542106;20/11/2021;6587.00;;
1291;4563268;06/08/2021;1287.00;;
3429;4568283;17/03/2021;1358.00;;
3429;4568598;23/11/2021;1787.00;;
3429;4568648;06/01/2021;1458.00;;
3454;4570172;18/11/2021;587.00;;
0404;4574380;30/06/2021;4087.00;;
0WVW;4574950;17/02/2021;1358.00;;
0WVW;4574950;15/01/2021;1358.00;;
3454;4576161;30/11/2021;1087.00;;
8282;4580155;29/01/2021;1758.00;;
0108;4593596;04/01/2021;1058.00;;
0108;4594479;28/02/2021;4058.00;;
0108;4597688;25/11/2021;1087.00;;
0108;4606604;17/08/2021;4087.00;;
0108;4613600;01/01/2021;2658.00;;
0108;4614210;24/12/2021;3087.00;;
0108;4614954;14/05/2021;4058.00;;
2257;4643383;01/12/2021;2787.00;;
2257;4643383;24/07/2021;587.00;;
3429;4655254;02/12/2021;2387.00;;
3590;4658548;16/11/2021;5687.00;;
3590;4658761;15/10/2021;2587.00;;
1JQL;4678256;29/12/2021;1787.00;;
1JQL;4678256;27/11/2021;1087.00;;
3597;4679361;05/01/2021;1358.00;;
3597;4679510;17/11/2021;1887.00;;
3597;4679700;05/11/2021;1387.00;;
2167;4683694;21/12/2021;2087.00;;
0OBZ;4691960;26/01/2021;958.00;;
5297;4763264;13/07/2021;5787.00;;
0330;4783841;07/05/2021;3558.00;;
2305;4784310;28/01/2021;1058.00;17/03/2021;1032.9
1FHQ;4795456;19/06/2021;2887.00;;
15QL;4857900;13/01/2021;658.00;;
0108;4866190;02/12/2021;6287.00;;
0108;4867768;03/07/2021;4087.00;;
0108;4878922;29/01/2021;4058.00;;
0108;4878922;14/01/2021;4058.00;;
3709;4884649;20/10/2021;1187.00;;
3706;4897294;29/01/2021;3658.00;;
3468;4905691;23/11/2021;3087.00;;
3468;4905691;18/04/2021;2158.00;;
3468;4905741;06/12/2021;3987.00;;
